"FID" "IID" "SOL" "C1" "C2" "C3" "C4" "HYPER" "SEX" "NALT" "NMIN" "NHET" "NVAR" "RATE" "SING" "TITV" "PASS" "PASS_S" "QUAL" "DP" "REF.dbsnp" "G.DP" "NRG.DP"
"1" "AT0208" "." 0 -0.179904 0.124123 0.114736 -0.0118538 2 1 81 60 46 854 0.99187 2 1.85714 43 0 696484 48214.2 0.95 40.6958 67.1605
"2" "AT0209" "." 0 0.089224 0.166136 0.181959 0.0885084 1 1 81 62 41 851 0.988386 1 2.1 47 1 689363 47794.9 0.887097 48.8871 92.7284
"3" "AT0211" "." 0 -0.195085 -0.130892 0.110953 0.173481 1 1 72 39 32 821 0.953542 0 2 36 0 778338 54721.3 0.923077 29.9441 42.6667
"4" "AT0217" "." 0 -0.0858531 -0.148229 -0.103242 -0.091431 1 1 73 38 34 839 0.974448 0 1.375 33 0 645515 47615.4 0.947368 46.9325 90
"5" "AT0219" "." 0 -0.0681236 -0.248468 -0.101248 -0.0859886 2 1 78 39 33 829 0.962834 0 1.6 34 0 556345 45382.5 0.820513 41.604 72.5513
"6" "AT0223" "." 0 -0.0202769 0.155658 0.0882386 0.128881 1 2 93 66 52 854 0.99187 0 2.14286 51 0 660406 47601.2 0.984848 43.4179 72.1935
"7" "AT0228" "." 0 -0.0860056 -0.171515 0.146015 -0.034455 1 2 79 53 35 854 0.99187 0 1.78947 35 0 577220 43670.5 0.943396 44.2765 82.3797
"8" "AT0231" "." 0 -0.0621834 0.087487 0.107382 -0.0314117 1 2 87 56 53 851 0.988386 0 1.8 38 0 670670 48725.8 0.892857 46.0245 85.1379
"9" "AT0232" "." 0 -0.0412749 0.048185 0.130404 -0.0432883 1 1 77 50 43 846 0.982578 0 1.63158 36 0 676566 47395.4 0.92 44.0316 78.7532
"10" "AT0235" "." 0 -0.144359 -0.0890451 0.0225606 -0.0643553 2 1 72 39 30 840 0.97561 1 2.54545 26 0 604594 42177.9 0.897436 25.9558 29.5556
"11" "AT0239" "." 0 -0.028515 0.0711838 0.0119366 -0.083586 1 1 78 39 34 837 0.972125 0 1.375 28 0 581214 49830.6 0.769231 46.3057 84.0385
"12" "AT0240" "." 0 0.0240483 -0.0169395 0.0362896 -0.0698667 2 1 84 49 46 829 0.962834 0 2.5 39 0 662352 50825.2 0.857143 44.3923 84.0476
"13" "AT0248" "." 0 -0.0649977 -0.239826 -0.0978388 -0.0812138 2 1 77 40 35 832 0.966318 0 1.35294 34 0 582675 44029.2 0.975 37.596 60.2338
"14" "AT0251" "." 0 -0.0808477 -0.0894827 -0.101893 -0.0677464 1 2 74 39 36 831 0.965157 0 1.29412 30 0 589994 46147.5 0.846154 40.1583 69.4324
"15" "AT0252" "." 0 -0.204511 0.0198004 0.070487 -0.0368771 1 1 73 36 33 834 0.968641 0 1.76923 29 0 641855 49868.9 0.861111 36.2072 53.1644
"16" "AT0259" "." 0 0.166234 0.129195 -0.0796651 0.0136648 1 2 86 64 41 848 0.984901 0 1.90909 52 0 678561 47186.3 1 34.2026 49.0233
"17" "AT0260" "." 0 0.0501489 -0.0301362 -0.0410684 -0.0776467 1 2 90 57 54 836 0.970964 0 1.71429 46 0 699320 50509.6 0.842105 40.7043 69.2556
"18" "AT0265" "." 0 -0.049876 0.0899848 0.0767658 -0.0484028 1 2 83 56 51 832 0.966318 1 1.94737 44 0 716190 48236.4 0.928571 42.5291 74.9277
"19" "AT0267" "." 0 -0.0603594 0.00266849 -0.00947546 -0.0579081 1 2 76 37 34 836 0.970964 0 2.36364 30 0 604016 48403.1 0.918919 39.7628 66.5395
"20" "AT0269" "." 0 -0.0172389 -0.0692396 0.141976 -0.0240806 1 2 88 54 53 831 0.965157 1 1.84211 45 0 715908 50796.2 0.944444 44.6313 77.625
"21" "AT0270" "." 0 -0.214772 -0.0113077 0.0813064 -0.0407929 2 2 56 20 12 834 0.968641 0 1.85714 19 0 963597 58939.1 1 39.7008 70.5536
"22" "AT0276" "." 0 0.0885315 0.0215243 0.185031 -0.047687 2 1 83 53 40 836 0.970964 0 2.11765 42 0 745749 50151.2 0.849057 46.1284 86.3735
"23" "AT0285" "." 0 0.0683013 0.202656 0.0779547 0.0785854 2 1 84 54 36 835 0.969803 1 2.375 44 0 761074 52182.8 0.888889 48.6179 94.8452
"24" "AT0286" "." 0 -0.178774 -0.0878389 0.0934152 -0.0217943 2 1 78 44 41 828 0.961672 0 2.14286 37 0 661810 48659.5 0.909091 37.5198 58.6923
"25" "AT0288" "." 0 0.029795 -0.0186138 0.0307642 -0.0554316 1 2 91 60 57 854 0.99187 0 2 44 0 673192 45261.2 0.933333 46.5979 83.4615
"26" "AT0295" "." 0 0.0490208 -0.0891727 -0.0401333 -0.0904556 2 2 87 60 56 848 0.984901 0 1.72727 46 0 666604 45660.5 0.916667 42.3531 71.7471
"27" "AT0296" "." 0 -0.0428137 -0.0523224 0.00419275 -0.0507521 1 2 75 38 35 831 0.965157 0 2.16667 29 0 603996 49539.3 0.894737 37.6282 61.48
"28" "AT0297" "." 0 -0.117568 -0.0345325 -0.121789 -0.0964543 1 1 60 24 16 835 0.969803 0 1.18182 18 0 610462 45668.8 0.708333 41.3225 73.2
"29" "AT0300" "." 0 -0.272292 0.117369 0.0883029 -0.0161618 1 1 57 27 10 828 0.961672 0 1.45455 21 0 888301 54926.1 0.888889 40 75.4211
