     FID  IID    SOL           C1           C2           C3           C4 
  AT0208    .      0   -0.0666607   -0.0839338   -0.0459507   -0.0258512 
  AT0209    .      0   -0.0384214   -0.0521831   -0.0421509    0.0284031 
  AT0211    .      0   -0.0311305   0.00195698    0.0268063   -0.0255652 
  AT0217    .      0   -0.0109619    0.0364235    0.0235975  -0.00462398 
  AT0219    .      0   -0.0534971     0.060298    0.0205169    0.0423231 
  AT0223    .      0    0.0396219   -0.0304227   0.00918595   -0.0233517 
  AT0228    .      0   -0.0454377    0.0187634     0.019236   -0.0148678 
  AT0231    .      0    0.0496855  -0.00490034    0.0223003  -0.00388804 
  AT0232    .      0    0.0198707    0.0295691    0.0169298  0.000582351 
  AT0235    .      0     0.030669   0.00222683  -0.00336078   0.00935824 
  AT0239    .      0    0.0368586   -0.0206629   0.00271606  -0.00387678 
  AT0240    .      0  -0.00719551    0.0231552    0.0263792   -0.0256153 
  AT0248    .      0   -0.0314703   -0.0240106    0.0149322   -0.0433955 
  AT0251    .      0   -0.0419823    0.0476583     0.026192    0.0156263 
  AT0252    .      0     0.021237   -0.0161862  -0.00573792    0.0296071 
  AT0259    .      0   -0.0647685   -0.0426073   -0.0262685   0.00960969 
  AT0260    .      0   -0.0651536    0.0116908   0.00720192   0.00185095 
  AT0265    .      0   -0.0498445   -0.0084984   -0.0363522   -0.0027516 
  AT0267    .      0   -0.0360154   0.00982976   0.00527787    0.0396905 
  AT0269    .      0   -0.0591981   -0.0664283   -0.0479757    0.0316363 
  AT0270    .      0   -0.0470889  -0.00484169  -0.00332256    0.0620713 
  AT0276    .      0   -0.0389689    0.0191229   0.00894154  -0.00394943 
  AT0285    .      0    -0.032043  -0.00770067    0.0056305   0.00220856 
  AT0286    .      0  -0.00547352    0.0119853  0.000504305   -0.0191192 
  AT0288    .      0   -0.0439383   0.00505607 -0.000116324   -0.0106512 
  AT0295    .      0   -0.0386627    0.0701236    0.0355815    -0.012799 
  AT0296    .      0    0.0495824  -0.00428407    0.0118087  -0.00581348 
  AT0297    .      0     0.066866  0.000658311    0.0463234   -0.0320566 
  AT0300    .      0   -0.0538389    0.0358385  -0.00310101    -0.014014 
  AT0308    .      0   -0.0332813   -0.0153504    0.0280019    0.0133428 
  AT0312    .      0    0.0342573   -0.0244589    0.0146482   -0.0214753 
  AT0329    .      0    0.0596411    0.0100474    0.0117753    0.0281487 
  AT0330    .      0    0.0535973   -0.0264095   -0.0218119   -0.0203451 
  AT0331    .      0   -0.0612993    0.0227349    0.0440976    0.0303292 
  AT0334    .      0   -0.0337886  -0.00431022   -0.0241185  -0.00998831 
  AT0335    .      0   -0.0696893   -0.0614141   -0.0130783   0.00406131 
  AT0337    .      0     0.046391   -0.0101611    0.0323132    0.0365271 
  AT0339    .      0  -0.00650715    0.0138617    0.0357097  -0.00665336 
  AT0344    .      0   -0.0285669   -0.0431899   -0.0295328   -0.0218607 
  AT0346    .      0    0.0568897  -0.00574279  -0.00362384    0.0029441 
  AT0353    .      0    0.0584371  -0.00837421    0.0418128    0.0125063 
  AT0357    .      0    0.0166893   -0.0414883   -0.0218538    0.0232891 
  AT0358    .      0   -0.0445744    0.0341752   0.00237943     0.016491 
  AT0363    .      0    0.0624935   -0.0250585    0.0280369  -0.00152975 
  AT0387    .      0   -0.0334908    0.0537481   0.00478948   -0.0457259 
  AT0392    .      0   -0.0426384   -0.0415243   -0.0193431    0.0396059 
  AT0393    .      0    0.0346297   0.00618906    0.0104134   -0.0296086 
  AT0394    .      0    0.0212863   -0.0238864   0.00714056    0.0376876 
  AT0395    .      0    0.0662247   -0.0157992    0.0249322   0.00391164 
  AT0399    .      0    0.0401271   -0.0186072  -0.00779442  -0.00110023 
  AT0403    .      0    0.0382353   -0.0224497  -0.00908399    0.0235344 
  AT0407    .      0    0.0513891  -0.00579923  -0.00435499  -0.00863372 
  AT0408    .      0   -0.0357024   -0.0858552   -0.0202968    0.0127148 
  AT0410    .      0   -0.0218658    0.0600583 -5.86304e-05 -0.000305733 
  AT0412    .      0   -0.0471752   -0.0752417   -0.0240828   -0.0295403 
  AT0421    .      0   -0.0295456    0.0585468    0.0135537   0.00652363 
  AT0422    .      0   -0.0411395  -0.00887284    0.0155916   -0.0385357 
  AT0426    .      0    0.0457443  -0.00571763    0.0300997   0.00560507 
  AT0429    .      0   -0.0375192  -0.00150614   0.00120687    0.0105462 
  AT0430    .      0    0.0210144  -0.00434149   0.00246667   -0.0265066 
  AT0433    .      0   -0.0513867  0.000559141   0.00644925   -0.0290286 
  AT0447    .      0   -0.0176305    0.0105138    0.0141993  -0.00618515 
  AT0448    .      0   -0.0545146  -0.00566052   -0.0174223  -0.00494234 
  AT0456    .      0    -0.046505    0.0271723    0.0364802    0.0270871 
  AT0462    .      0    -0.042977   -0.0404757   -0.0359991   0.00329389 
  AT0465    .      0   -0.0413943   -0.0511936    -0.023518   0.00609685 
  AT0478    .      0    0.0820744  -0.00440279    0.0162593   0.00259283 
  AT0479    .      0    0.0699592     -0.03746    0.0122767   0.00737595 
  AT0483    .      0     0.033216   -0.0102912    0.0112099    0.0222712 
  AT0485    .      0     0.030474   -0.0111884    0.0243722   -0.0275493 
  AT0487    .      0    0.0419731   -0.0200907  -0.00943768     0.015061 
  AT0489    .      0     0.021631  -0.00387084   0.00882522   -0.0264664 
  AT0490    .      0    0.0522723  0.000581966    0.0150941   -0.0191401 
  AT0493    .      0    -0.025574    0.0125747     0.009895   -0.0312832 
  AT0495    .      0    0.0173184  -0.00940111   -0.0152209    0.0325768 
  AT0498    .      0   -0.0527143   0.00142914  -0.00635103    0.0169435 
  AT0501    .      0    0.0264737    0.0121026  -0.00706033   0.00786481 
  AT0507    .      0    0.0122368  -0.00440721    0.0150152   0.00352277 
  AT0508    .      0    0.0189977 -0.000573635 -0.000491816   -0.0397738 
  AT0513    .      0   -0.0294789    0.0179124    0.0325676    0.0139352 
  AT0514    .      0  -0.00937796    0.0202612    0.0149438    0.0380004 
  AT0515    .      0   -0.0352806    0.0095738   -0.0208392    0.0280583 
  AT0519    .      0   -0.0549373   0.00521896  -0.00622578   -0.0102823 
  AT0520    .      0    0.0273547   -0.0112752  -0.00126962 -0.000273555 
  AT0521    .      0  -0.00427696    0.0239197    0.0346898 -0.000780699 
  AT0526    .      0    0.0472075   -0.0389252    0.0110216  -0.00725544 
  AT0532    .      0    0.0453451   -0.0142312    0.0307047   -0.0329332 
  AT0536    .      0    0.0561726   -0.0145079   0.00346989    0.0141303 
  AT0542    .      0    0.0457526   -0.0228716    0.0311158   -0.0106871 
  AT0546    .      0    0.0664907   0.00685351   -0.0093533  -0.00301829 
  AT0548    .      0    0.0178634  -0.00140749   0.00657666    0.0472358 
  AT0549    .      0    0.0384735   -0.0278096  -0.00708978    0.0199952 
  AT0552    .      0     0.032622  -0.00786798  -0.00201391   -0.0276569 
  AT0560    .      0   -0.0385529    0.0324122   0.00731247    0.0335291 
  AT0570    .      0   0.00758605    -0.022434   0.00361623  -0.00849871 
  AT0571    .      0    0.0331893    -0.020035    0.0150223    0.0154519 
  AT0578    .      0     -0.03897  -0.00181398   0.00370526    0.0277065 
  AT0579    .      0    0.0370945   -0.0206402  -0.00545346  -0.00492958 
  AT0587    .      0    0.0541061   -0.0222227    0.0197096   -0.0104056 
  AT0588    .      0    0.0510514   -0.0101703    0.0124353   -0.0157562 
  AT0604    .      0    0.0371289   -0.0192418   -0.0178502    0.0429825 
  AT0607    .      0  -0.00101035   -0.0448015   0.00252673   -0.0291421 
  AT0612    .      0    0.0515732   -0.0179335    0.0150069   -0.0228363 
  AT0613    .      0    0.0629024    0.0577728   -0.0909889  -0.00760564 
  AT0620    .      0    0.0101356    0.0140686    0.0185093  -0.00219829 
  AT0626    .      0   -0.0710972 -0.000402428   -0.0106621 -0.000495731 
  AT0631    .      0   -0.0141491     0.034024    0.0227342    0.0070385 
  AT0635    .      0   -0.0452303  0.000162389    0.0174954   -0.0346484 
  AT0639    .      0   -0.0575324    0.0220539    0.0226507   0.00801508 
  AT0641    .      0    0.0367419   -0.0118001   0.00904484    0.0312579 
  AT0644    .      0     0.053631   -0.0114079  -0.00220721   -0.0189313 
  AT0650    .      0   0.00622143   -0.0232405    0.0278607    0.0238229 
  AT0651    .      0     0.039946   -0.0220627   0.00183607    0.0494566 
  AT0653    .      0    0.0189154  -0.00595826   0.00174313   -0.0251865 
  AT0655    .      0   -0.0223726   0.00369051    0.0161301    -0.017036 
  AT0658    .      0   -0.0329475   0.00404448    0.0128626   -0.0307992 
  AT0660    .      0    0.0458855  -0.00562595    0.0145948   -0.0152064 
  AT0665    .      0    0.0553049  -0.00766601    0.0329535  -0.00404791 
  AT0667    .      0   -0.0544661     0.041532   -0.0194079   -0.0233451 
  AT0673    .      0   -0.0685794   -0.0172361   -0.0229855   0.00325453 
  AT0676    .      0   -0.0471608    0.0251999   0.00123218   0.00252147 
  AT0677    .      0   -0.0446583  -0.00523555   0.00139091    0.0255224 
  AT0679    .      0    0.0741486   0.00765153   0.00219739   -0.0339739 
  AT0683    .      0   0.00748477    0.0320391   0.00852751  -0.00484295 
  AT0685    .      0   -0.0551286    0.0204004   0.00104222    0.0227746 
  AT0690    .      0   -0.0330168   -0.0512757    0.0187868  -0.00512988 
  AT0692    .      0  -0.00642925    0.0148608    0.0105304    0.0248349 
  AT0695    .      0    0.0602273  -0.00104121   -0.0169465    0.0541242 
  AT0696    .      0   -0.0411145  0.000486027    0.0107285   -0.0145059 
  AT0697    .      0   0.00151865   -0.0488775 -0.000144063   -0.0495936 
  AT0699    .      0   -0.0432069   0.00806199    0.0132954    0.0436307 
  AT0705    .      0    0.0272507   -0.0251505    0.0242852   -0.0192766 
  AT0706    .      0   -0.0412694   0.00975476    0.0449238   -0.0134779 
  AT0707    .      0  -0.00383613    0.0160082  -0.00644375  -0.00367409 
  AT0709    .      0   -0.0673861   -0.0231148   -0.0291263     -0.01883 
  AT0710    .      0    0.0331086    0.0153844   0.00214832    0.0103702 
  AT0720    .      0   -0.0276875    0.0171676    0.0371581     0.010435 
  AT0721    .      0   -0.0307887    0.0385029    0.0129497   -0.0435111 
  AT0722    .      0  -0.00791805    0.0250333  -0.00100915    0.0139585 
  AT0723    .      0  -0.00615671   -0.0539141     0.013745   -0.0235087 
  AT0724    .      0    0.0454487   -0.0170122    0.0240728   -0.0541433 
  AT0726    .      0    -0.053622    0.0121159    0.0384462   -0.0218798 
  AT0734    .      0   -0.0152914   0.00624603    0.0172353   -0.0288649 
  AT0735    .      0   -0.0259976     0.046131    0.0357671  -0.00457424 
  AT0737    .      0   -0.0376353    0.0260512   0.00673699   0.00546119 
  AT0747    .      0    0.0291376    0.0741815    -0.100709   -0.0306075 
  AT0749    .      0    0.0481415    0.0737178    -0.114417  -0.00214609 
